,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Josh Allen BUF,30.8,20.7,243.9,QB,Josh Allen BUF,5,,,,,,,,,,,,,,
Justin Fields NYJ,27.7,18.2,206.4,QB,Justin Fields NYJ,5,,,,,,,,,,,,,,
Kyler Murray ARI,32.5,22.7,217.0,QB,Kyler Murray ARI,5,,,,,,,,,,,,,,
Jayden Daniels WAS,32.0,21.0,213.9,QB,Jayden Daniels WAS,5,,,,,,,,,,,,,,
Justin Herbert LAC,33.3,21.8,265.0,QB,Justin Herbert LAC,5,,,,,,,,,,,,,,
Jalen Hurts PHI,25.7,17.5,186.8,QB,Jalen Hurts PHI,5,,,,,,,,,,,,,,
Patrick Mahomes II KC,35.1,23.1,246.3,QB,Patrick Mahomes II KC,5,,,,,,,,,,,,,,
Daniel Jones IND,30.3,20.0,222.9,QB,Daniel Jones IND,5,,,,,,,,,,,,,,
Jared Goff DET,31.2,22.7,258.6,QB,Jared Goff DET,5,,,,,,,,,,,,,,
Drake Maye NE,32.0,22.1,219.4,QB,Drake Maye NE,5,,,,,,,,,,,,,,
Dak Prescott DAL,36.3,24.2,249.2,QB,Dak Prescott DAL,5,,,,,,,,,,,,,,
Baker Mayfield TB,32.6,22.0,230.2,QB,Baker Mayfield TB,5,,,,,,,,,,,,,,
Geno Smith LV,33.3,22.7,253.0,QB,Geno Smith LV,5,,,,,,,,,,,,,,
Matthew Stafford LAR,33.2,22.1,241.0,QB,Matthew Stafford LAR,5,,,,,,,,,,,,,,
Bo Nix DEN,35.4,22.5,212.3,QB,Bo Nix DEN,5,,,,,,,,,,,,,,
Jaxson Dart NYG,30.5,19.6,213.8,QB,Jaxson Dart NYG,5,,,,,,,,,,,,,,
Tua Tagovailoa MIA,34.0,23.6,243.5,QB,Tua Tagovailoa MIA,5,,,,,,,,,,,,,,
C.J. Stroud HOU,32.5,21.1,231.3,QB,C.J. Stroud HOU,5,,,,,,,,,,,,,,
Bryce Young CAR,30.9,19.7,194.0,QB,Bryce Young CAR,5,,,,,,,,,,,,,,
Jake Browning CIN,34.2,22.8,234.3,QB,Jake Browning CIN,5,,,,,,,,,,,,,,
Trevor Lawrence JAC,33.4,20.7,219.4,QB,Trevor Lawrence JAC,5,,,,,,,,,,,,,,
Brock Purdy SF,26.3,17.5,227.9,QB,Brock Purdy SF,5,,,,,,,,,,,,,,
Sam Darnold SEA,30.2,20.5,235.0,QB,Sam Darnold SEA,5,,,,,,,,,,,,,,
Spencer Rattler NO,31.6,19.6,196.2,QB,Spencer Rattler NO,5,,,,,,,,,,,,,,
Carson Wentz MIN,30.2,19.1,207.6,QB,Carson Wentz MIN,5,,,,,,,,,,,,,,
Joe Flacco CLE,34.3,21.7,227.7,QB,Joe Flacco CLE,5,,,,,,,,,,,,,,
Cooper Rush BAL,31.0,18.7,195.0,QB,Cooper Rush BAL,5,,,,,,,,,,,,,,
Cam Ward TEN,30.8,18.4,192.5,QB,Cam Ward TEN,5,,,,,,,,,,,,,,
Lamar Jackson BAL,14.4,9.7,127.4,QB,Lamar Jackson BAL,5,,,,,,,,,,,,,,
Dillon Gabriel CLE,21.0,13.0,123.4,QB,Dillon Gabriel CLE,5,,,,,,,,,,,,,,
Mac Jones SF,9.4,6.1,75.0,QB,Mac Jones SF,5,,,,,,,,,,,,,,
Anthony Richardson Sr. IND,0.6,0.4,4.9,QB,Anthony Richardson Sr. IND,5,,,,,,,,,,,,,,
Jalen Milroe SEA,0.4,0.3,3.0,QB,Jalen Milroe SEA,5,,,,,,,,,,,,,,
Shedeur Sanders CLE,1.8,1.1,9.9,QB,Shedeur Sanders CLE,5,,,,,,,,,,,,,,
Zach Wilson MIA,0.7,0.5,5.0,QB,Zach Wilson MIA,5,,,,,,,,,,,,,,
Tyler Shough NO,0.9,0.6,5.4,QB,Tyler Shough NO,5,,,,,,,,,,,,,,
Jacoby Brissett ARI,0.7,0.5,4.8,QB,Jacoby Brissett ARI,5,,,,,,,,,,,,,,
Gardner Minshew II KC,0.7,0.5,5.2,QB,Gardner Minshew II KC,5,,,,,,,,,,,,,,
Joe Milton III DAL,0.8,0.5,4.9,QB,Joe Milton III DAL,5,,,,,,,,,,,,,,
Marcus Mariota WAS,0.6,0.4,4.4,QB,Marcus Mariota WAS,5,,,,,,,,,,,,,,
Kenny Pickett LV,0.7,0.5,4.9,QB,Kenny Pickett LV,5,,,,,,,,,,,,,,
Tyrod Taylor NYJ,0.6,0.4,4.7,QB,Tyrod Taylor NYJ,5,,,,,,,,,,,,,,
Mitchell Trubisky BUF,0.6,0.4,5.0,QB,Mitchell Trubisky BUF,5,,,,,,,,,,,,,,
Drew Lock SEA,0.7,0.5,4.8,QB,Drew Lock SEA,5,,,,,,,,,,,,,,
Davis Mills HOU,0.7,0.4,4.5,QB,Davis Mills HOU,5,,,,,,,,,,,,,,
Jameis Winston NYG,0.7,0.4,4.3,QB,Jameis Winston NYG,5,,,,,,,,,,,,,,
Russell Wilson NYG,0.7,0.4,4.3,QB,Russell Wilson NYG,5,,,,,,,,,,,,,,
Nick Mullens JAC,0.7,0.4,4.2,QB,Nick Mullens JAC,5,,,,,,,,,,,,,,
Joshua Dobbs NE,0.6,0.4,4.0,QB,Joshua Dobbs NE,5,,,,,,,,,,,,,,
Jimmy Garoppolo LAR,0.7,0.5,4.6,QB,Jimmy Garoppolo LAR,5,,,,,,,,,,,,,,
Jarrett Stidham DEN,0.7,0.4,3.7,QB,Jarrett Stidham DEN,5,,,,,,,,,,,,,,
Andy Dalton CAR,0.6,0.4,3.8,QB,Andy Dalton CAR,5,,,,,,,,,,,,,,
Brandon Allen TEN,0.6,0.4,3.4,QB,Brandon Allen TEN,5,,,,,,,,,,,,,,
Tanner McKee PHI,0.5,0.3,3.4,QB,Tanner McKee PHI,5,,,,,,,,,,,,,,
