,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Josh Allen BUF,30.4,19.8,236.9,QB,Josh Allen BUF,4,,,,,,,,,,,,,,
Lamar Jackson BAL,28.4,19.1,237.4,QB,Lamar Jackson BAL,4,,,,,,,,,,,,,,
Jalen Hurts PHI,26.7,18.5,204.3,QB,Jalen Hurts PHI,4,,,,,,,,,,,,,,
Jayden Daniels WAS,28.9,19.4,208.0,QB,Jayden Daniels WAS,4,,,,,,,,,,,,,,
Drake Maye NE,31.9,21.8,222.3,QB,Drake Maye NE,4,,,,,,,,,,,,,,
Patrick Mahomes II KC,36.4,23.9,245.4,QB,Patrick Mahomes II KC,4,,,,,,,,,,,,,,
Brock Purdy SF,32.0,21.4,270.0,QB,Brock Purdy SF,4,,,,,,,,,,,,,,
Justin Herbert LAC,31.7,21.3,251.1,QB,Justin Herbert LAC,4,,,,,,,,,,,,,,
Bo Nix DEN,32.7,21.7,216.0,QB,Bo Nix DEN,4,,,,,,,,,,,,,,
Jordan Love GB,29.8,19.8,256.9,QB,Jordan Love GB,4,,,,,,,,,,,,,,
Caleb Williams CHI,32.4,21.1,226.3,QB,Caleb Williams CHI,4,,,,,,,,,,,,,,
Daniel Jones IND,30.7,19.6,223.0,QB,Daniel Jones IND,4,,,,,,,,,,,,,,
Baker Mayfield TB,33.6,22.3,233.6,QB,Baker Mayfield TB,4,,,,,,,,,,,,,,
Jared Goff DET,30.6,21.7,255.2,QB,Jared Goff DET,4,,,,,,,,,,,,,,
Kyler Murray ARI,32.3,22.1,214.8,QB,Kyler Murray ARI,4,,,,,,,,,,,,,,
Geno Smith LV,33.4,22.7,259.0,QB,Geno Smith LV,4,,,,,,,,,,,,,,
Justin Fields NYJ,23.8,15.2,175.2,QB,Justin Fields NYJ,4,,,,,,,,,,,,,,
C.J. Stroud HOU,31.9,20.7,234.4,QB,C.J. Stroud HOU,4,,,,,,,,,,,,,,
Matthew Stafford LAR,33.0,22.2,254.5,QB,Matthew Stafford LAR,4,,,,,,,,,,,,,,
