,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Josh Allen BUF,30.6,21.0,234.1,QB,Josh Allen BUF,15,,,,,,,,,,,,,,
Lamar Jackson BAL,28.3,18.7,236.8,QB,Lamar Jackson BAL,15,,,,,,,,,,,,,,
Drake Maye NE,31.6,21.8,256.5,QB,Drake Maye NE,15,,,,,,,,,,,,,,
Jalen Hurts PHI,29.1,19.7,214.1,QB,Jalen Hurts PHI,15,,,,,,,,,,,,,,
Jaxson Dart NYG,29.8,19.4,226.9,QB,Jaxson Dart NYG,15,,,,,,,,,,,,,,
Matthew Stafford LAR,35.7,23.3,271.7,QB,Matthew Stafford LAR,15,,,,,,,,,,,,,,
Brock Purdy SF,32.0,21.8,263.8,QB,Brock Purdy SF,15,,,,,,,,,,,,,,
Dak Prescott DAL,36.3,24.0,262.5,QB,Dak Prescott DAL,15,,,,,,,,,,,,,,
Joe Burrow CIN,36.4,23.7,252.1,QB,Joe Burrow CIN,15,,,,,,,,,,,,,,
Marcus Mariota WAS,31.0,19.9,220.5,QB,Marcus Mariota WAS,15,,,,,,,,,,,,,,
Trevor Lawrence JAC,31.2,19.1,213.6,QB,Trevor Lawrence JAC,15,,,,,,,,,,,,,,
C.J. Stroud HOU,32.6,21.3,237.8,QB,C.J. Stroud HOU,15,,,,,,,,,,,,,,
Baker Mayfield TB,30.2,19.4,216.3,QB,Baker Mayfield TB,15,,,,,,,,,,,,,,
Jared Goff DET,33.6,23.4,255.8,QB,Jared Goff DET,15,,,,,,,,,,,,,,
Sam Darnold SEA,29.8,20.2,251.7,QB,Sam Darnold SEA,15,,,,,,,,,,,,,,
Justin Herbert LAC,31.3,20.6,218.6,QB,Justin Herbert LAC,15,,,,,,,,,,,,,,
Bo Nix DEN,34.6,22.2,211.1,QB,Bo Nix DEN,15,,,,,,,,,,,,,,
Caleb Williams CHI,30.7,17.8,199.0,QB,Caleb Williams CHI,15,,,,,,,,,,,,,,
J.J. McCarthy MIN,30.3,18.7,214.5,QB,J.J. McCarthy MIN,15,,,,,,,,,,,,,,
Tyler Shough NO,31.9,20.4,220.3,QB,Tyler Shough NO,15,,,,,,,,,,,,,,
Aaron Rodgers PIT,31.9,21.4,217.3,QB,Aaron Rodgers PIT,15,,,,,,,,,,,,,,
Jordan Love GB,29.8,19.0,215.7,QB,Jordan Love GB,15,,,,,,,,,,,,,,
Jacoby Brissett ARI,35.6,22.0,232.0,QB,Jacoby Brissett ARI,15,,,,,,,,,,,,,,
Bryce Young CAR,30.7,19.2,195.9,QB,Bryce Young CAR,15,,,,,,,,,,,,,,
Kirk Cousins ATL,31.2,19.4,226.3,QB,Kirk Cousins ATL,15,,,,,,,,,,,,,,
Tua Tagovailoa MIA,29.3,19.5,200.5,QB,Tua Tagovailoa MIA,15,,,,,,,,,,,,,,
Cam Ward TEN,32.7,20.3,198.2,QB,Cam Ward TEN,15,,,,,,,,,,,,,,
Kenny Pickett LV,31.4,19.1,202.1,QB,Kenny Pickett LV,15,,,,,,,,,,,,,,
Brady Cook NYJ,29.2,17.0,178.0,QB,Brady Cook NYJ,15,,,,,,,,,,,,,,
Shedeur Sanders CLE,30.2,17.2,183.6,QB,Shedeur Sanders CLE,15,,,,,,,,,,,,,,
Philip Rivers IND,29.6,17.5,182.4,QB,Philip Rivers IND,15,,,,,,,,,,,,,,
Jalen Milroe SEA,0.4,0.3,2.9,QB,Jalen Milroe SEA,15,,,,,,,,,,,,,,
Riley Leonard IND,1.5,0.9,8.6,QB,Riley Leonard IND,15,,,,,,,,,,,,,,
Mac Jones SF,0.7,0.5,5.9,QB,Mac Jones SF,15,,,,,,,,,,,,,,
Tyler Huntley BAL,0.6,0.4,4.5,QB,Tyler Huntley BAL,15,,,,,,,,,,,,,,
Joshua Dobbs NE,0.6,0.4,5.0,QB,Joshua Dobbs NE,15,,,,,,,,,,,,,,
Jameis Winston NYG,0.6,0.4,4.9,QB,Jameis Winston NYG,15,,,,,,,,,,,,,,
Drew Lock SEA,0.6,0.4,5.2,QB,Drew Lock SEA,15,,,,,,,,,,,,,,
Mitchell Trubisky BUF,0.6,0.4,4.6,QB,Mitchell Trubisky BUF,15,,,,,,,,,,,,,,
Davis Mills HOU,0.7,0.5,4.9,QB,Davis Mills HOU,15,,,,,,,,,,,,,,
Joe Milton III DAL,0.8,0.5,5.3,QB,Joe Milton III DAL,15,,,,,,,,,,,,,,
Zach Wilson MIA,0.6,0.4,4.3,QB,Zach Wilson MIA,15,,,,,,,,,,,,,,
Spencer Rattler NO,0.9,0.6,5.8,QB,Spencer Rattler NO,15,,,,,,,,,,,,,,
Joe Flacco CIN,0.8,0.5,5.0,QB,Joe Flacco CIN,15,,,,,,,,,,,,,,
Jimmy Garoppolo LAR,0.7,0.4,5.1,QB,Jimmy Garoppolo LAR,15,,,,,,,,,,,,,,
Malik Willis GB,0.6,0.3,3.8,QB,Malik Willis GB,15,,,,,,,,,,,,,,
Mason Rudolph PIT,0.6,0.4,4.0,QB,Mason Rudolph PIT,15,,,,,,,,,,,,,,
Nick Mullens JAC,0.7,0.4,4.5,QB,Nick Mullens JAC,15,,,,,,,,,,,,,,
Jarrett Stidham DEN,0.7,0.5,4.0,QB,Jarrett Stidham DEN,15,,,,,,,,,,,,,,
Brett Rypien MIN,1.2,0.7,6.6,QB,Brett Rypien MIN,15,,,,,,,,,,,,,,
Tanner McKee PHI,0.6,0.4,3.9,QB,Tanner McKee PHI,15,,,,,,,,,,,,,,
Brandon Allen TEN,0.7,0.4,3.6,QB,Brandon Allen TEN,15,,,,,,,,,,,,,,
Andy Dalton CAR,0.6,0.4,4.2,QB,Andy Dalton CAR,15,,,,,,,,,,,,,,
Trey Lance LAC,0.7,0.4,4.0,QB,Trey Lance LAC,15,,,,,,,,,,,,,,
Anthony Richardson Sr. IND,0.6,0.4,3.6,QB,Anthony Richardson Sr. IND,15,,,,,,,,,,,,,,
Dillon Gabriel CLE,0.7,0.4,3.7,QB,Dillon Gabriel CLE,15,,,,,,,,,,,,,,
Teddy Bridgewater TB,0.7,0.4,3.9,QB,Teddy Bridgewater TB,15,,,,,,,,,,,,,,
Max Brosmer MIN,0.6,0.4,4.3,QB,Max Brosmer MIN,15,,,,,,,,,,,,,,
Aidan O'Connell LV,0.7,0.4,3.6,QB,Aidan O'Connell LV,15,,,,,,,,,,,,,,
Kyle Allen DET,0.4,0.2,2.5,QB,Kyle Allen DET,15,,,,,,,,,,,,,,
Tyrod Taylor NYJ,0.0,0.0,0.0,QB,Tyrod Taylor NYJ,15,,,,,,,,,,,,,,
Russell Wilson NYG,0.0,0.0,0.0,QB,Russell Wilson NYG,15,,,,,,,,,,,,,,
Case Keenum CHI,0.0,0.0,0.0,QB,Case Keenum CHI,15,,,,,,,,,,,,,,
Geno Smith LV,0.0,0.0,0.0,QB,Geno Smith LV,15,,,,,,,,,,,,,,
Cooper Rush BAL,0.0,0.0,0.0,QB,Cooper Rush BAL,15,,,,,,,,,,,,,,
Jake Browning CIN,0.0,0.0,0.0,QB,Jake Browning CIN,15,,,,,,,,,,,,,,
Sam Howell PHI,0.0,0.0,0.0,QB,Sam Howell PHI,15,,,,,,,,,,,,,,
Hendon Hooker NYJ,0.0,0.0,0.0,QB,Hendon Hooker NYJ,15,,,,,,,,,,,,,,
Tyson Bagent CHI,0.0,0.0,0.0,QB,Tyson Bagent CHI,15,,,,,,,,,,,,,,
Christian McCaffrey SF,,18.9,0.7,RB,Christian McCaffrey SF,15,74.2,,,,,,,,,,,,,
Jahmyr Gibbs DET,,14.7,0.7,RB,Jahmyr Gibbs DET,15,77.3,,,,,,,,,,,,,
De'Von Achane MIA,,16.5,0.5,RB,De'Von Achane MIA,15,84.4,,,,,,,,,,,,,
Bijan Robinson ATL,,17.0,0.5,RB,Bijan Robinson ATL,15,81.8,,,,,,,,,,,,,
Jonathan Taylor IND,,18.8,0.6,RB,Jonathan Taylor IND,15,87.1,,,,,,,,,,,,,
Derrick Henry BAL,,17.5,0.8,RB,Derrick Henry BAL,15,90.7,,,,,,,,,,,,,
James Cook III BUF,,17.4,0.6,RB,James Cook III BUF,15,85.9,,,,,,,,,,,,,
Saquon Barkley PHI,,18.7,0.5,RB,Saquon Barkley PHI,15,78.5,,,,,,,,,,,,,
Josh Jacobs GB,,17.2,0.8,RB,Josh Jacobs GB,15,66.7,,,,,,,,,,,,,
Chase Brown CIN,,14.3,0.3,RB,Chase Brown CIN,15,58.9,,,,,,,,,,,,,
Bucky Irving TB,,15.3,0.4,RB,Bucky Irving TB,15,66.4,,,,,,,,,,,,,
Woody Marks HOU,,17.5,0.5,RB,Woody Marks HOU,15,73.1,,,,,,,,,,,,,
Javonte Williams DAL,,17.5,0.6,RB,Javonte Williams DAL,15,72.6,,,,,,,,,,,,,
Travis Etienne Jr. JAC,,16.8,0.6,RB,Travis Etienne Jr. JAC,15,71.0,,,,,,,,,,,,,
Kyren Williams LAR,,14.7,0.6,RB,Kyren Williams LAR,15,62.8,,,,,,,,,,,,,
RJ Harvey DEN,,12.3,0.5,RB,RJ Harvey DEN,15,49.4,,,,,,,,,,,,,
TreVeyon Henderson NE,,11.6,0.4,RB,TreVeyon Henderson NE,15,58.4,,,,,,,,,,,,,
Ashton Jeanty LV,,14.3,0.3,RB,Ashton Jeanty LV,15,54.4,,,,,,,,,,,,,
Breece Hall NYJ,,16.2,0.3,RB,Breece Hall NYJ,15,67.4,,,,,,,,,,,,,
Jaylen Warren PIT,,14.0,0.4,RB,Jaylen Warren PIT,15,60.7,,,,,,,,,,,,,
Kenneth Walker III SEA,,14.2,0.5,RB,Kenneth Walker III SEA,15,57.9,,,,,,,,,,,,,
Rico Dowdle CAR,,14.1,0.3,RB,Rico Dowdle CAR,15,59.8,,,,,,,,,,,,,
D'Andre Swift CHI,,13.8,0.4,RB,D'Andre Swift CHI,15,56.8,,,,,,,,,,,,,
Omarion Hampton LAC,,13.1,0.4,RB,Omarion Hampton LAC,15,52.6,,,,,,,,,,,,,
Kenneth Gainwell PIT,,7.8,0.3,RB,Kenneth Gainwell PIT,15,33.2,,,,,,,,,,,,,
Tyrone Tracy Jr. NYG,,13.0,0.2,RB,Tyrone Tracy Jr. NYG,15,56.3,,,,,,,,,,,,,
Aaron Jones Sr. MIN,,11.1,0.2,RB,Aaron Jones Sr. MIN,15,53.2,,,,,,,,,,,,,
Kareem Hunt KC,,11.5,0.5,RB,Kareem Hunt KC,15,45.0,,,,,,,,,,,,,
Tony Pollard TEN,,13.3,0.3,RB,Tony Pollard TEN,15,53.3,,,,,,,,,,,,,
Chuba Hubbard CAR,,11.0,0.2,RB,Chuba Hubbard CAR,15,43.9,,,,,,,,,,,,,
Kyle Monangai CHI,,12.2,0.4,RB,Kyle Monangai CHI,15,50.7,,,,,,,,,,,,,
Tyjae Spears TEN,,6.2,0.1,RB,Tyjae Spears TEN,15,25.9,,,,,,,,,,,,,
Jacory Croskey-Merritt WAS,,11.4,0.3,RB,Jacory Croskey-Merritt WAS,15,57.3,,,,,,,,,,,,,
Devin Singletary NYG,,11.3,0.4,RB,Devin Singletary NYG,15,46.3,,,,,,,,,,,,,
Zach Charbonnet SEA,,11.0,0.5,RB,Zach Charbonnet SEA,15,39.8,,,,,,,,,,,,,
Jeremy McNichols WAS,,7.9,0.3,RB,Jeremy McNichols WAS,15,41.2,,,,,,,,,,,,,
Rhamondre Stevenson NE,,9.1,0.4,RB,Rhamondre Stevenson NE,15,35.7,,,,,,,,,,,,,
David Montgomery DET,,8.8,0.3,RB,David Montgomery DET,15,36.5,,,,,,,,,,,,,
Kimani Vidal LAC,,9.4,0.2,RB,Kimani Vidal LAC,15,40.1,,,,,,,,,,,,,
Tyler Allgeier ATL,,8.2,0.4,RB,Tyler Allgeier ATL,15,32.3,,,,,,,,,,,,,
Jordan Mason MIN,,9.2,0.3,RB,Jordan Mason MIN,15,43.4,,,,,,,,,,,,,
Blake Corum LAR,,8.9,0.3,RB,Blake Corum LAR,15,38.8,,,,,,,,,,,,,
Rachaad White TB,,6.4,0.2,RB,Rachaad White TB,15,25.2,,,,,,,,,,,,,
Emari Demercado ARI,,4.8,0.1,RB,Emari Demercado ARI,15,23.5,,,,,,,,,,,,,
Isiah Pacheco KC,,7.4,0.2,RB,Isiah Pacheco KC,15,32.6,,,,,,,,,,,,,
Samaje Perine CIN,,6.6,0.2,RB,Samaje Perine CIN,15,28.5,,,,,,,,,,,,,
Ty Johnson BUF,,2.3,0.1,RB,Ty Johnson BUF,15,10.6,,,,,,,,,,,,,
Bhayshul Tuten JAC,,7.1,0.3,RB,Bhayshul Tuten JAC,15,27.0,,,,,,,,,,,,,
Keaton Mitchell BAL,,4.5,0.1,RB,Keaton Mitchell BAL,15,29.7,,,,,,,,,,,,,
Emanuel Wilson GB,,6.3,0.2,RB,Emanuel Wilson GB,15,24.1,,,,,,,,,,,,,
Michael Carter ARI,,5.0,0.1,RB,Michael Carter ARI,15,18.0,,,,,,,,,,,,,
Brian Robinson Jr. SF,,6.7,0.2,RB,Brian Robinson Jr. SF,15,28.1,,,,,,,,,,,,,
Dare Ogunbowale HOU,,5.2,0.2,RB,Dare Ogunbowale HOU,15,20.8,,,,,,,,,,,,,
Jaleel McLaughlin DEN,,4.8,0.1,RB,Jaleel McLaughlin DEN,15,20.2,,,,,,,,,,,,,
Kyle Juszczyk SF,,0.3,0.0,RB,Kyle Juszczyk SF,15,1.1,,,,,,,,,,,,,
Raheim Sanders CLE,,3.2,0.1,RB,Raheim Sanders CLE,15,13.6,,,,,,,,,,,,,
Isaiah Davis NYJ,,3.3,0.1,RB,Isaiah Davis NYJ,15,16.9,,,,,,,,,,,,,
Raheem Mostert LV,,3.3,0.1,RB,Raheem Mostert LV,15,13.3,,,,,,,,,,,,,
