,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Lamar Jackson BAL,28.7,19.8,242.0,QB,Lamar Jackson BAL,9,,,,,,,,,,,,,,
Patrick Mahomes II KC,35.7,24.3,258.5,QB,Patrick Mahomes II KC,9,,,,,,,,,,,,,,
Josh Allen BUF,30.4,20.5,229.4,QB,Josh Allen BUF,9,,,,,,,,,,,,,,
Drake Maye NE,30.6,21.6,240.2,QB,Drake Maye NE,9,,,,,,,,,,,,,,
Justin Herbert LAC,33.7,23.3,260.7,QB,Justin Herbert LAC,9,,,,,,,,,,,,,,
Dak Prescott DAL,36.0,24.7,254.2,QB,Dak Prescott DAL,9,,,,,,,,,,,,,,
Caleb Williams CHI,33.5,21.5,241.1,QB,Caleb Williams CHI,9,,,,,,,,,,,,,,
Jayden Daniels WAS,30.7,20.1,209.7,QB,Jayden Daniels WAS,9,,,,,,,,,,,,,,
Daniel Jones IND,32.6,22.7,256.4,QB,Daniel Jones IND,9,,,,,,,,,,,,,,
Jordan Love GB,31.0,20.8,245.4,QB,Jordan Love GB,9,,,,,,,,,,,,,,
Jaxson Dart NYG,31.5,19.8,214.0,QB,Jaxson Dart NYG,9,,,,,,,,,,,,,,
Jared Goff DET,30.6,22.8,256.4,QB,Jared Goff DET,9,,,,,,,,,,,,,,
Matthew Stafford LAR,33.6,21.9,252.9,QB,Matthew Stafford LAR,9,,,,,,,,,,,,,,
Sam Darnold SEA,31.4,21.0,267.0,QB,Sam Darnold SEA,9,,,,,,,,,,,,,,
Jacoby Brissett ARI,34.0,21.8,239.0,QB,Jacoby Brissett ARI,9,,,,,,,,,,,,,,
Trevor Lawrence JAC,33.5,21.0,229.6,QB,Trevor Lawrence JAC,9,,,,,,,,,,,,,,
Aaron Rodgers PIT,32.6,22.1,232.1,QB,Aaron Rodgers PIT,9,,,,,,,,,,,,,,
Bo Nix DEN,33.5,20.5,211.1,QB,Bo Nix DEN,9,,,,,,,,,,,,,,
Joe Flacco CIN,36.7,23.4,239.1,QB,Joe Flacco CIN,9,,,,,,,,,,,,,,
C.J. Stroud HOU,32.8,21.0,225.1,QB,C.J. Stroud HOU,9,,,,,,,,,,,,,,
J.J. McCarthy MIN,32.7,20.4,228.3,QB,J.J. McCarthy MIN,9,,,,,,,,,,,,,,
Tua Tagovailoa MIA,32.4,22.5,223.0,QB,Tua Tagovailoa MIA,9,,,,,,,,,,,,,,
Mac Jones SF,32.2,21.2,229.7,QB,Mac Jones SF,9,,,,,,,,,,,,,,
Michael Penix Jr. ATL,33.0,20.9,243.0,QB,Michael Penix Jr. ATL,9,,,,,,,,,,,,,,
Geno Smith LV,31.3,20.6,222.9,QB,Geno Smith LV,9,,,,,,,,,,,,,,
Bryce Young CAR,31.4,19.7,183.9,QB,Bryce Young CAR,9,,,,,,,,,,,,,,
Tyler Shough NO,32.7,20.0,201.4,QB,Tyler Shough NO,9,,,,,,,,,,,,,,
Cam Ward TEN,34.0,19.9,203.9,QB,Cam Ward TEN,9,,,,,,,,,,,,,,
Kyler Murray ARI,3.5,2.4,26.8,QB,Kyler Murray ARI,9,,,,,,,,,,,,,,
Brock Purdy SF,3.4,2.3,26.5,QB,Brock Purdy SF,9,,,,,,,,,,,,,,
Max Brosmer MIN,1.5,0.9,11.4,QB,Max Brosmer MIN,9,,,,,,,,,,,,,,
Adrian Martinez SF,1.0,0.7,8.0,QB,Adrian Martinez SF,9,,,,,,,,,,,,,,
Will Howard PIT,0.9,0.7,6.9,QB,Will Howard PIT,9,,,,,,,,,,,,,,
Jalen Milroe SEA,0.4,0.3,3.0,QB,Jalen Milroe SEA,9,,,,,,,,,,,,,,
Tyson Bagent CHI,0.7,0.5,5.3,QB,Tyson Bagent CHI,9,,,,,,,,,,,,,,
Tyler Huntley BAL,0.6,0.4,4.8,QB,Tyler Huntley BAL,9,,,,,,,,,,,,,,
Gardner Minshew II KC,0.7,0.5,5.2,QB,Gardner Minshew II KC,9,,,,,,,,,,,,,,
Drew Lock SEA,0.6,0.4,5.3,QB,Drew Lock SEA,9,,,,,,,,,,,,,,
Joshua Dobbs NE,0.6,0.5,4.7,QB,Joshua Dobbs NE,9,,,,,,,,,,,,,,
Malik Willis GB,0.6,0.4,4.7,QB,Malik Willis GB,9,,,,,,,,,,,,,,
Mason Rudolph PIT,0.7,0.5,4.6,QB,Mason Rudolph PIT,9,,,,,,,,,,,,,,
Nick Mullens JAC,0.7,0.5,4.7,QB,Nick Mullens JAC,9,,,,,,,,,,,,,,
Zach Wilson MIA,0.7,0.5,4.4,QB,Zach Wilson MIA,9,,,,,,,,,,,,,,
Mitchell Trubisky BUF,0.6,0.4,4.3,QB,Mitchell Trubisky BUF,9,,,,,,,,,,,,,,
Jake Browning CIN,0.7,0.5,4.4,QB,Jake Browning CIN,9,,,,,,,,,,,,,,
Joe Milton III DAL,0.7,0.5,4.9,QB,Joe Milton III DAL,9,,,,,,,,,,,,,,
Marcus Mariota WAS,0.6,0.4,4.2,QB,Marcus Mariota WAS,9,,,,,,,,,,,,,,
Jimmy Garoppolo LAR,0.7,0.4,5.1,QB,Jimmy Garoppolo LAR,9,,,,,,,,,,,,,,
Jameis Winston NYG,0.7,0.4,4.1,QB,Jameis Winston NYG,9,,,,,,,,,,,,,,
Russell Wilson NYG,0.7,0.4,4.1,QB,Russell Wilson NYG,9,,,,,,,,,,,,,,
Davis Mills HOU,0.6,0.4,4.1,QB,Davis Mills HOU,9,,,,,,,,,,,,,,
Spencer Rattler NO,0.9,0.5,5.0,QB,Spencer Rattler NO,9,,,,,,,,,,,,,,
Jarrett Stidham DEN,0.7,0.4,4.0,QB,Jarrett Stidham DEN,9,,,,,,,,,,,,,,
Kenny Pickett LV,0.7,0.5,4.5,QB,Kenny Pickett LV,9,,,,,,,,,,,,,,
Brett Rypien IND,1.3,0.8,8.5,QB,Brett Rypien IND,9,,,,,,,,,,,,,,
Graham Mertz HOU,0.9,0.6,6.6,QB,Graham Mertz HOU,9,,,,,,,,,,,,,,
Andy Dalton CAR,0.7,0.4,3.5,QB,Andy Dalton CAR,9,,,,,,,,,,,,,,
Trey Lance LAC,0.7,0.5,5.1,QB,Trey Lance LAC,9,,,,,,,,,,,,,,
Kirk Cousins ATL,0.6,0.4,4.3,QB,Kirk Cousins ATL,9,,,,,,,,,,,,,,
Brandon Allen TEN,0.6,0.4,3.6,QB,Brandon Allen TEN,9,,,,,,,,,,,,,,
Kyle Allen DET,0.3,0.3,2.6,QB,Kyle Allen DET,9,,,,,,,,,,,,,,
Hendon Hooker CAR,0.0,0.0,0.0,QB,Hendon Hooker CAR,9,,,,,,,,,,,,,,
Aidan O'Connell LV,0.0,0.0,0.0,QB,Aidan O'Connell LV,9,,,,,,,,,,,,,,
