,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Lamar Jackson BAL,25.5,16.6,224.4,QB,Lamar Jackson BAL,2,,,,,,,,,,,,,,
Josh Allen BUF,31.0,20.0,232.0,QB,Josh Allen BUF,2,,,,,,,,,,,,,,
Joe Burrow CIN,35.3,25.2,276.8,QB,Joe Burrow CIN,2,,,,,,,,,,,,,,
Jalen Hurts PHI,26.8,18.0,201.6,QB,Jalen Hurts PHI,2,,,,,,,,,,,,,,
Jayden Daniels WAS,32.4,21.9,227.3,QB,Jayden Daniels WAS,2,,,,,,,,,,,,,,
Kyler Murray ARI,31.3,21.9,225.6,QB,Kyler Murray ARI,2,,,,,,,,,,,,,,
Patrick Mahomes II KC,36.3,23.6,237.0,QB,Patrick Mahomes II KC,2,,,,,,,,,,,,,,
Justin Fields NYJ,29.7,18.7,202.4,QB,Justin Fields NYJ,2,,,,,,,,,,,,,,
Dak Prescott DAL,35.5,23.9,261.3,QB,Dak Prescott DAL,2,,,,,,,,,,,,,,
Jordan Love GB,30.4,19.9,242.2,QB,Jordan Love GB,2,,,,,,,,,,,,,,
Baker Mayfield TB,32.5,20.9,246.1,QB,Baker Mayfield TB,2,,,,,,,,,,,,,,
Justin Herbert LAC,31.3,21.2,244.8,QB,Justin Herbert LAC,2,,,,,,,,,,,,,,
Bo Nix DEN,34.1,22.6,228.6,QB,Bo Nix DEN,2,,,,,,,,,,,,,,
J.J. McCarthy MIN,31.1,21.3,233.2,QB,J.J. McCarthy MIN,2,,,,,,,,,,,,,,
Drake Maye NE,32.2,21.9,220.7,QB,Drake Maye NE,2,,,,,,,,,,,,,,
Jared Goff DET,32.2,22.6,262.1,QB,Jared Goff DET,2,,,,,,,,,,,,,,
Daniel Jones IND,27.5,17.2,208.4,QB,Daniel Jones IND,2,,,,,,,,,,,,,,
Trevor Lawrence JAC,34.6,23.0,252.8,QB,Trevor Lawrence JAC,2,,,,,,,,,,,,,,
Caleb Williams CHI,34.4,21.5,230.7,QB,Caleb Williams CHI,2,,,,,,,,,,,,,,
