,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Josh Allen BUF,28.9,19.3,219.0,QB,Josh Allen BUF,16,,,,,,,,,,,,,,
Jalen Hurts PHI,29.5,19.7,234.1,QB,Jalen Hurts PHI,16,,,,,,,,,,,,,,
Justin Herbert LAC,32.3,21.5,248.1,QB,Justin Herbert LAC,16,,,,,,,,,,,,,,
Brock Purdy SF,33.2,22.6,262.2,QB,Brock Purdy SF,16,,,,,,,,,,,,,,
Drake Maye NE,30.8,21.3,249.1,QB,Drake Maye NE,16,,,,,,,,,,,,,,
Lamar Jackson BAL,27.8,18.4,216.1,QB,Lamar Jackson BAL,16,,,,,,,,,,,,,,
Jared Goff DET,33.6,23.3,268.4,QB,Jared Goff DET,16,,,,,,,,,,,,,,
Dak Prescott DAL,36.5,24.0,261.7,QB,Dak Prescott DAL,16,,,,,,,,,,,,,,
Joe Burrow CIN,35.6,24.5,253.3,QB,Joe Burrow CIN,16,,,,,,,,,,,,,,
Jacoby Brissett ARI,35.9,23.5,248.9,QB,Jacoby Brissett ARI,16,,,,,,,,,,,,,,
Baker Mayfield TB,32.4,20.6,237.6,QB,Baker Mayfield TB,16,,,,,,,,,,,,,,
Jaxson Dart NYG,30.6,18.8,204.6,QB,Jaxson Dart NYG,16,,,,,,,,,,,,,,
C.J. Stroud HOU,32.1,21.4,237.0,QB,C.J. Stroud HOU,16,,,,,,,,,,,,,,
Bo Nix DEN,35.1,22.4,218.2,QB,Bo Nix DEN,16,,,,,,,,,,,,,,
Jordan Love GB,31.6,20.8,243.9,QB,Jordan Love GB,16,,,,,,,,,,,,,,
Tyler Shough NO,31.9,20.0,213.5,QB,Tyler Shough NO,16,,,,,,,,,,,,,,
Caleb Williams CHI,31.6,19.2,210.3,QB,Caleb Williams CHI,16,,,,,,,,,,,,,,
Trevor Lawrence JAC,31.8,19.3,218.5,QB,Trevor Lawrence JAC,16,,,,,,,,,,,,,,
