,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Patrick Mahomes II KC,35.6,23.7,271.9,QB,Patrick Mahomes II KC,13,,,,,,,,,,,,,,
Josh Allen BUF,30.9,20.8,248.2,QB,Josh Allen BUF,13,,,,,,,,,,,,,,
Jalen Hurts PHI,29.1,19.9,225.4,QB,Jalen Hurts PHI,13,,,,,,,,,,,,,,
Drake Maye NE,30.5,21.5,257.0,QB,Drake Maye NE,13,,,,,,,,,,,,,,
Lamar Jackson BAL,27.9,18.6,235.5,QB,Lamar Jackson BAL,13,,,,,,,,,,,,,,
Justin Herbert LAC,33.1,22.2,249.9,QB,Justin Herbert LAC,13,,,,,,,,,,,,,,
Dak Prescott DAL,36.4,25.1,262.3,QB,Dak Prescott DAL,13,,,,,,,,,,,,,,
Bo Nix DEN,33.6,21.7,237.7,QB,Bo Nix DEN,13,,,,,,,,,,,,,,
Matthew Stafford LAR,34.8,22.9,260.1,QB,Matthew Stafford LAR,13,,,,,,,,,,,,,,
Jaxson Dart NYG,32.3,20.3,215.2,QB,Jaxson Dart NYG,13,,,,,,,,,,,,,,
Trevor Lawrence JAC,31.1,19.9,224.2,QB,Trevor Lawrence JAC,13,,,,,,,,,,,,,,
Baker Mayfield TB,31.1,20.5,230.7,QB,Baker Mayfield TB,13,,,,,,,,,,,,,,
Joe Burrow CIN,36.4,24.6,251.7,QB,Joe Burrow CIN,13,,,,,,,,,,,,,,
Daniel Jones IND,31.6,21.0,235.4,QB,Daniel Jones IND,13,,,,,,,,,,,,,,
Jacoby Brissett ARI,36.1,23.4,250.0,QB,Jacoby Brissett ARI,13,,,,,,,,,,,,,,
Jared Goff DET,33.4,23.3,247.7,QB,Jared Goff DET,13,,,,,,,,,,,,,,
Caleb Williams CHI,33.0,19.3,220.2,QB,Caleb Williams CHI,13,,,,,,,,,,,,,,
Brock Purdy SF,31.7,21.2,247.2,QB,Brock Purdy SF,13,,,,,,,,,,,,,,
