,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Josh Allen BUF,31.4,20.5,238.1,QB,Josh Allen BUF,3,,,,,,,,,,,,,,
Lamar Jackson BAL,29.1,19.2,234.9,QB,Lamar Jackson BAL,3,,,,,,,,,,,,,,
Jalen Hurts PHI,27.8,18.8,208.2,QB,Jalen Hurts PHI,3,,,,,,,,,,,,,,
Justin Herbert LAC,32.6,21.4,248.6,QB,Justin Herbert LAC,3,,,,,,,,,,,,,,
Dak Prescott DAL,35.9,24.2,269.2,QB,Dak Prescott DAL,3,,,,,,,,,,,,,,
Caleb Williams CHI,33.2,21.4,233.2,QB,Caleb Williams CHI,3,,,,,,,,,,,,,,
Baker Mayfield TB,32.0,21.6,236.8,QB,Baker Mayfield TB,3,,,,,,,,,,,,,,
Marcus Mariota WAS,30.5,19.9,224.8,QB,Marcus Mariota WAS,3,,,,,,,,,,,,,,
Drake Maye NE,33.5,22.3,232.7,QB,Drake Maye NE,3,,,,,,,,,,,,,,
Jared Goff DET,35.1,23.9,272.6,QB,Jared Goff DET,3,,,,,,,,,,,,,,
Bo Nix DEN,34.5,22.4,221.4,QB,Bo Nix DEN,3,,,,,,,,,,,,,,
Jordan Love GB,30.6,19.7,235.9,QB,Jordan Love GB,3,,,,,,,,,,,,,,
Trevor Lawrence JAC,33.3,21.0,236.2,QB,Trevor Lawrence JAC,3,,,,,,,,,,,,,,
C.J. Stroud HOU,32.8,20.6,245.1,QB,C.J. Stroud HOU,3,,,,,,,,,,,,,,
Geno Smith LV,33.9,22.5,251.1,QB,Geno Smith LV,3,,,,,,,,,,,,,,
Aaron Rodgers PIT,33.1,21.3,234.1,QB,Aaron Rodgers PIT,3,,,,,,,,,,,,,,
Matthew Stafford LAR,34.6,22.5,247.8,QB,Matthew Stafford LAR,3,,,,,,,,,,,,,,
Sam Darnold SEA,31.1,19.6,233.9,QB,Sam Darnold SEA,3,,,,,,,,,,,,,,
Tyrod Taylor NYJ,29.3,19.5,209.1,QB,Tyrod Taylor NYJ,3,,,,,,,,,,,,,,
Bryce Young CAR,33.6,20.9,210.5,QB,Bryce Young CAR,3,,,,,,,,,,,,,,
Mac Jones SF,32.8,21.4,217.8,QB,Mac Jones SF,3,,,,,,,,,,,,,,
Cam Ward TEN,30.7,19.2,216.9,QB,Cam Ward TEN,3,,,,,,,,,,,,,,
Spencer Rattler NO,32.1,19.5,206.9,QB,Spencer Rattler NO,3,,,,,,,,,,,,,,
Joe Flacco CIN,34.9,22.5,239.3,QB,Joe Flacco CIN,3,,,,,,,,,,,,,,
Jaxson Dart NYG,0.4,0.2,2.3,QB,Jaxson Dart NYG,3,,,,,,,,,,,,,,
Dillon Gabriel CLE,0.0,0.0,0.0,QB,Dillon Gabriel CLE,3,,,,,,,,,,,,,,
Brock Purdy SF,0.0,0.0,0.0,QB,Brock Purdy SF,3,,,,,,,,,,,,,,
Kyle Trask ATL,0.0,0.0,0.0,QB,Kyle Trask ATL,3,,,,,,,,,,,,,,
Trey Lance LAC,0.0,0.0,0.0,QB,Trey Lance LAC,3,,,,,,,,,,,,,,
Zach Wilson MIA,0.0,0.0,0.0,QB,Zach Wilson MIA,3,,,,,,,,,,,,,,
Kenny Pickett LV,0.0,0.0,0.0,QB,Kenny Pickett LV,3,,,,,,,,,,,,,,
Davis Mills HOU,0.0,0.0,0.0,QB,Davis Mills HOU,3,,,,,,,,,,,,,,
J.J. McCarthy MIN,0.0,0.0,0.0,QB,J.J. McCarthy MIN,3,,,,,,,,,,,,,,
Tyler Shough NO,0.0,0.0,0.0,QB,Tyler Shough NO,3,,,,,,,,,,,,,,
Shedeur Sanders CLE,0.0,0.0,0.0,QB,Shedeur Sanders CLE,3,,,,,,,,,,,,,,
Malik Willis GB,0.0,0.0,0.0,QB,Malik Willis GB,3,,,,,,,,,,,,,,
Hendon Hooker NYJ,0.0,0.0,0.0,QB,Hendon Hooker NYJ,3,,,,,,,,,,,,,,
Anthony Richardson Sr. IND,0.0,0.0,0.0,QB,Anthony Richardson Sr. IND,3,,,,,,,,,,,,,,
Tanner McKee PHI,0.0,0.0,0.0,QB,Tanner McKee PHI,3,,,,,,,,,,,,,,
Tyson Bagent CHI,0.0,0.0,0.0,QB,Tyson Bagent CHI,3,,,,,,,,,,,,,,
Joe Milton III DAL,0.0,0.0,0.0,QB,Joe Milton III DAL,3,,,,,,,,,,,,,,
Mitchell Trubisky BUF,0.0,0.0,0.0,QB,Mitchell Trubisky BUF,3,,,,,,,,,,,,,,
Andy Dalton CAR,0.0,0.0,0.0,QB,Andy Dalton CAR,3,,,,,,,,,,,,,,
Kirk Cousins ATL,0.0,0.0,0.0,QB,Kirk Cousins ATL,3,,,,,,,,,,,,,,
