,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Drake Maye NE,31.0,22.3,273.8,QB,Drake Maye NE,12,,,,,,,,,,,,,,
Lamar Jackson BAL,27.4,18.4,227.6,QB,Lamar Jackson BAL,12,,,,,,,,,,,,,,
Jalen Hurts PHI,28.4,19.3,225.4,QB,Jalen Hurts PHI,12,,,,,,,,,,,,,,
Patrick Mahomes II KC,35.4,23.4,255.8,QB,Patrick Mahomes II KC,12,,,,,,,,,,,,,,
Josh Allen BUF,30.8,20.1,237.0,QB,Josh Allen BUF,12,,,,,,,,,,,,,,
Brock Purdy SF,33.5,22.6,275.3,QB,Brock Purdy SF,12,,,,,,,,,,,,,,
Matthew Stafford LAR,34.7,23.0,261.6,QB,Matthew Stafford LAR,12,,,,,,,,,,,,,,
Jared Goff DET,32.8,22.9,262.9,QB,Jared Goff DET,12,,,,,,,,,,,,,,
Daniel Jones IND,33.0,23.2,254.8,QB,Daniel Jones IND,12,,,,,,,,,,,,,,
Caleb Williams CHI,31.9,19.5,224.6,QB,Caleb Williams CHI,12,,,,,,,,,,,,,,
Dak Prescott DAL,36.0,23.2,244.5,QB,Dak Prescott DAL,12,,,,,,,,,,,,,,
Jacoby Brissett ARI,35.3,22.7,236.9,QB,Jacoby Brissett ARI,12,,,,,,,,,,,,,,
Sam Darnold SEA,29.2,20.7,251.1,QB,Sam Darnold SEA,12,,,,,,,,,,,,,,
Baker Mayfield TB,32.5,21.2,232.9,QB,Baker Mayfield TB,12,,,,,,,,,,,,,,
Trevor Lawrence JAC,31.9,20.0,216.3,QB,Trevor Lawrence JAC,12,,,,,,,,,,,,,,
Jordan Love GB,30.1,19.8,227.4,QB,Jordan Love GB,12,,,,,,,,,,,,,,
Mason Rudolph PIT,32.2,21.5,235.5,QB,Mason Rudolph PIT,12,,,,,,,,,,,,,,
Tyler Shough NO,33.0,20.7,223.8,QB,Tyler Shough NO,12,,,,,,,,,,,,,,
Joe Flacco CIN,36.3,23.0,228.2,QB,Joe Flacco CIN,12,,,,,,,,,,,,,,
Davis Mills HOU,35.4,20.6,219.6,QB,Davis Mills HOU,12,,,,,,,,,,,,,,
Bryce Young CAR,33.0,21.1,207.2,QB,Bryce Young CAR,12,,,,,,,,,,,,,,
Jameis Winston NYG,32.9,20.3,223.9,QB,Jameis Winston NYG,12,,,,,,,,,,,,,,
Tyrod Taylor NYJ,28.5,18.4,186.5,QB,Tyrod Taylor NYJ,12,,,,,,,,,,,,,,
Geno Smith LV,31.7,20.6,218.4,QB,Geno Smith LV,12,,,,,,,,,,,,,,
J.J. McCarthy MIN,30.8,18.5,198.9,QB,J.J. McCarthy MIN,12,,,,,,,,,,,,,,
Kirk Cousins ATL,31.3,20.1,225.1,QB,Kirk Cousins ATL,12,,,,,,,,,,,,,,
Shedeur Sanders CLE,28.9,17.4,176.4,QB,Shedeur Sanders CLE,12,,,,,,,,,,,,,,
Cam Ward TEN,32.2,18.9,190.4,QB,Cam Ward TEN,12,,,,,,,,,,,,,,
Bailey Zappe NYJ,1.4,0.8,7.7,QB,Bailey Zappe NYJ,12,,,,,,,,,,,,,,
Kedon Slovis ARI,1.0,0.7,7.0,QB,Kedon Slovis ARI,12,,,,,,,,,,,,,,
Mac Jones SF,0.7,0.5,6.0,QB,Mac Jones SF,12,,,,,,,,,,,,,,
Joshua Dobbs NE,0.6,0.5,5.6,QB,Joshua Dobbs NE,12,,,,,,,,,,,,,,
Drew Lock SEA,0.6,0.5,5.4,QB,Drew Lock SEA,12,,,,,,,,,,,,,,
Spencer Rattler NO,1.0,0.6,6.3,QB,Spencer Rattler NO,12,,,,,,,,,,,,,,
Gardner Minshew II KC,0.7,0.5,5.2,QB,Gardner Minshew II KC,12,,,,,,,,,,,,,,
Mitchell Trubisky BUF,0.6,0.4,4.6,QB,Mitchell Trubisky BUF,12,,,,,,,,,,,,,,
Tyson Bagent CHI,0.7,0.4,4.7,QB,Tyson Bagent CHI,12,,,,,,,,,,,,,,
