,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Drake Maye NE,31.2,22.4,259.1,QB,Drake Maye NE,18,,,,,,,,,,,,,,
Trevor Lawrence JAC,32.3,20.6,252.1,QB,Trevor Lawrence JAC,18,,,,,,,,,,,,,,
Jaxson Dart NYG,29.8,19.3,216.5,QB,Jaxson Dart NYG,18,,,,,,,,,,,,,,
Matthew Stafford LAR,34.6,23.0,269.6,QB,Matthew Stafford LAR,18,,,,,,,,,,,,,,
Dak Prescott DAL,35.5,23.8,269.4,QB,Dak Prescott DAL,18,,,,,,,,,,,,,,
Caleb Williams CHI,32.6,19.8,231.7,QB,Caleb Williams CHI,18,,,,,,,,,,,,,,
Brock Purdy SF,33.9,22.6,247.6,QB,Brock Purdy SF,18,,,,,,,,,,,,,,
Joe Burrow CIN,34.4,22.7,244.1,QB,Joe Burrow CIN,18,,,,,,,,,,,,,,
Jared Goff DET,34.3,23.8,270.3,QB,Jared Goff DET,18,,,,,,,,,,,,,,
Bo Nix DEN,33.3,21.1,215.9,QB,Bo Nix DEN,18,,,,,,,,,,,,,,
Baker Mayfield TB,32.1,20.9,231.5,QB,Baker Mayfield TB,18,,,,,,,,,,,,,,
Lamar Jackson BAL,26.1,16.9,207.3,QB,Lamar Jackson BAL,18,,,,,,,,,,,,,,
Tyler Shough NO,34.0,21.3,237.2,QB,Tyler Shough NO,18,,,,,,,,,,,,,,
Jacoby Brissett ARI,37.0,23.9,248.3,QB,Jacoby Brissett ARI,18,,,,,,,,,,,,,,
Sam Darnold SEA,31.4,21.2,249.9,QB,Sam Darnold SEA,18,,,,,,,,,,,,,,
C.J. Stroud HOU,32.1,20.8,234.1,QB,C.J. Stroud HOU,18,,,,,,,,,,,,,,
Bryce Young CAR,32.2,20.2,208.8,QB,Bryce Young CAR,18,,,,,,,,,,,,,,
Tanner McKee PHI,27.9,18.9,212.6,QB,Tanner McKee PHI,18,,,,,,,,,,,,,,
J.J. McCarthy MIN,27.9,17.3,190.3,QB,J.J. McCarthy MIN,18,,,,,,,,,,,,,,
Shedeur Sanders CLE,28.6,17.0,207.1,QB,Shedeur Sanders CLE,18,,,,,,,,,,,,,,
Aaron Rodgers PIT,31.7,20.6,210.9,QB,Aaron Rodgers PIT,18,,,,,,,,,,,,,,
Kirk Cousins ATL,31.8,20.0,218.3,QB,Kirk Cousins ATL,18,,,,,,,,,,,,,,
Cam Ward TEN,34.2,20.2,200.2,QB,Cam Ward TEN,18,,,,,,,,,,,,,,
Trey Lance LAC,30.8,18.3,195.8,QB,Trey Lance LAC,18,,,,,,,,,,,,,,
Josh Johnson WAS,29.3,17.8,192.3,QB,Josh Johnson WAS,18,,,,,,,,,,,,,,
Quinn Ewers MIA,30.0,19.6,203.5,QB,Quinn Ewers MIA,18,,,,,,,,,,,,,,
Riley Leonard IND,29.6,18.0,183.7,QB,Riley Leonard IND,18,,,,,,,,,,,,,,
Josh Allen BUF,18.7,12.7,116.4,QB,Josh Allen BUF,18,,,,,,,,,,,,,,
Chris Oladokun KC,26.8,15.9,168.8,QB,Chris Oladokun KC,18,,,,,,,,,,,,,,
Brady Cook NYJ,29.9,17.7,181.4,QB,Brady Cook NYJ,18,,,,,,,,,,,,,,
Kenny Pickett LV,26.2,17.2,162.2,QB,Kenny Pickett LV,18,,,,,,,,,,,,,,
Mitchell Trubisky BUF,15.0,10.0,132.0,QB,Mitchell Trubisky BUF,18,,,,,,,,,,,,,,
Jalen Hurts PHI,15.1,9.8,113.2,QB,Jalen Hurts PHI,18,,,,,,,,,,,,,,
Aidan O'Connell LV,10.9,7.2,68.8,QB,Aidan O'Connell LV,18,,,,,,,,,,,,,,
Jordan Love GB,0.0,0.0,0.0,QB,Jordan Love GB,18,,,,,,,,,,,,,,
Max Brosmer MIN,0.0,0.0,0.0,QB,Max Brosmer MIN,18,,,,,,,,,,,,,,
Tyler Huntley BAL,0.0,0.0,0.0,QB,Tyler Huntley BAL,18,,,,,,,,,,,,,,
Mac Jones SF,0.0,0.0,0.0,QB,Mac Jones SF,18,,,,,,,,,,,,,,
Zach Wilson MIA,0.0,0.0,0.0,QB,Zach Wilson MIA,18,,,,,,,,,,,,,,
Davis Mills HOU,0.0,0.0,0.0,QB,Davis Mills HOU,18,,,,,,,,,,,,,,
Sam Howell PHI,0.0,0.0,0.0,QB,Sam Howell PHI,18,,,,,,,,,,,,,,
Dillon Gabriel CLE,0.0,0.0,0.0,QB,Dillon Gabriel CLE,18,,,,,,,,,,,,,,
Hendon Hooker NYJ,0.0,0.0,0.0,QB,Hendon Hooker NYJ,18,,,,,,,,,,,,,,
Anthony Richardson Sr. IND,0.0,0.0,0.0,QB,Anthony Richardson Sr. IND,18,,,,,,,,,,,,,,
Tyson Bagent CHI,0.0,0.0,0.0,QB,Tyson Bagent CHI,18,,,,,,,,,,,,,,
Joe Milton III DAL,0.0,0.0,0.0,QB,Joe Milton III DAL,18,,,,,,,,,,,,,,
Jarrett Stidham DEN,0.0,0.0,0.0,QB,Jarrett Stidham DEN,18,,,,,,,,,,,,,,
Drew Lock SEA,0.0,0.0,0.0,QB,Drew Lock SEA,18,,,,,,,,,,,,,,
Kyle Allen DET,0.0,0.0,0.0,QB,Kyle Allen DET,18,,,,,,,,,,,,,,
Mason Rudolph PIT,0.0,0.0,0.0,QB,Mason Rudolph PIT,18,,,,,,,,,,,,,,
Nick Mullens JAC,0.0,0.0,0.0,QB,Nick Mullens JAC,18,,,,,,,,,,,,,,
Joshua Dobbs NE,0.0,0.0,0.0,QB,Joshua Dobbs NE,18,,,,,,,,,,,,,,
Brandon Allen TEN,0.0,0.0,0.0,QB,Brandon Allen TEN,18,,,,,,,,,,,,,,
Jameis Winston NYG,0.0,0.0,0.0,QB,Jameis Winston NYG,18,,,,,,,,,,,,,,
